1 0  0.59 | 0.41
2 0.01  0.15 | 0.85
3 0.02  0.28 | 0.72
4 0.03  0.62 | 0.38
5 0.04  0.2 | 0.8
6 0.05  0.31 | 0.69
7 0.06  0.35 | 0.65
8 0.07  0.32 | 0.68
9 0.08  0.04 | 0.96
10 0.09  0.78 | 0.22
11 0.1  0.51 | 0.49
12 0.11  0.33 | 0.67
13 0.12  0.49 | 0.51
14 0.13  0.39 | 0.61
15 0.14  0.37 | 0.63
16 0.15  0.13 | 0.87
17 0.16  0.34 | 0.66
18 0.17  0.76 | 0.24
19 0.18  0.2 | 0.8
20 0.19  0.17 | 0.83
21 0.2  0.29 | 0.71
22 0.21  0.4 | 0.6
23 0.22  0.36 | 0.64
24 0.23  0.48 | 0.52
25 0.24  0.1 | 0.9
26 0.25  0.4 | 0.6
27 0.26  0.51 | 0.49
28 0.27  0.69 | 0.31
29 0.28  0.77 | 0.23
30 0.29  0.01 | 0.99
31 0.3  0.06 | 0.94
32 0.31  0.89 | 0.11
33 0.32  0.75 | 0.25
34 0.33  0.76 | 0.24
35 0.34  0.49 | 0.51
36 0.35  0.85 | 0.15
37 0.36  0.87 | 0.13
38 0.37  0.61 | 0.39
39 0.38  0.33 | 0.67
40 0.39  0.03 | 0.97
41 0.4  0.81 | 0.19
42 0.41  0.24 | 0.76
43 0.42  0.88 | 0.12
44 0.43  0.67 | 0.33
45 0.44  0.01 | 0.99
46 0.45  0.82 | 0.18
47 0.46  0.08 | 0.92
48 0.47  0.65 | 0.35
49 0.48  0.26 | 0.74
50 0.49  1 | 0
51 0.5  0.05 | 0.95
52 0.51  0.29 | 0.71
53 0.52  0.61 | 0.39
54 0.53  0.67 | 0.33
55 0.54  0.61 | 0.39
56 0.55  0.68 | 0.32
57 0.56  0.63 | 0.37
58 0.57  0.55 | 0.45
59 0.58  0.43 | 0.57
60 0.59  0.29 | 0.71
61 0.6  0.05 | 0.95
62 0.61  0.95 | 0.05
63 0.62  0.29 | 0.71
